, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Operating Expense Rate,0.06686946243874607,0.07572745164435482,0.06560233500386291,-0.20635302444800005,-0.20643857293345727,0.013246396949847911,0.0142474457174981,0.013981897992476006,-0.0035965861160703804,0.013167879836052776,1.0,-0.06038632779122549,-0.020147237245890334,-0.006011228390267238,0.06068266761930852,0.09051859475458447,0.09126265755387136,0.09119735612112907,0.0809689795931054,0.007252733361920769,-0.015838175724108894,0.07179917799953653,0.0814278557778977,-0.008170085769546314,0.013373677312247305,0.007175805050672751,0.009511051605620073,-0.006643657365997401,0.014168371305188002,-0.008456422523363434,-0.003863096745830717,-0.003016153201418418,-0.0074642711536188336,0.017687103529809463,0.02444604740351084,-0.016164044277745572,0.14383348737630805,-0.14383348737630733,0.008989692872319151,0.023977296352161857,0.010618016825934551,0.07197213893159243,0.08292325750313295,0.07974650676421431,0.19506332522432718,-0.02833072957701767,-0.007935192134745766,-0.12921438059523663,-0.05515956040404882,0.16513480047562482,-0.010492421609130205,0.12686895226500544,-0.009231095852821676,-0.07672405264952746,-0.004686275101891619,0.025720001996264293,-0.11060501645388233,-0.012903958182215894,0.02425782525521516,0.13525624161897407,-0.042396021864516215,-0.008018056492787095,-0.011448195345595403,-0.013652980239444423,0.007323972353645061,0.035898533295514685,0.0017292745807333757,0.08331453445080364,-0.001955057864509809,-0.24942591956785537,0.1707755572247663,0.1539359585984384,-0.003330928462631689,0.04073016560554897,0.0030815522909581677,-0.007464271158170334,-0.013652980239444423,0.035898533295514685,0.02483654665007801,0.007630425463857186,-0.006762326660879995,-0.005426454289174948,0.01472170830767823,0.015510659725368012,-0.004119032201983327,0.07136459003177247,-0.02552420948747395,0.006497361129803733,-0.20635374689724698,0.029732768205188772,0.03480947475628846,0.013576775553760748,0.006231802814312966,,-0.1207631789425446
 Research and development expense rate,0.10646056015845089,0.08433371051535767,0.10214683305162199,-0.01697642598398822,-0.017391218242697706,0.016387428336343955,0.016835566061958327,0.016520863201855612,-0.006041221886412053,0.01572757384249062,-0.06038632779122549,1.0,0.030917666419019767,0.0006560112067827033,-0.019200913287463508,0.08882165407596285,0.08749971032460721,0.0870627019419235,0.07648599664215705,0.05216247161510002,-0.019291366530357672,0.06873816371394952,0.06608536964888576,-0.011150748906853646,0.012166212198911017,0.019958027390853776,0.02070269902174061,0.007841628095534443,0.023188652494629,-0.010300172665684762,0.029751886190115262,0.04226924892189385,-0.009091702928714026,-0.02570195676891291,-0.013571973026848925,-0.01929179721284052,-0.04516244450689545,0.045162444506901496,-0.04701366479789573,-0.045528599154733194,-0.012449025436203643,0.06714327142123716,0.06954474156038513,-0.047222258803863354,0.01349757038137075,-0.0345076662880705,-0.028470952822798937,0.001365922166411328,0.016872344151809163,-0.025440400206946122,-0.012780079900646396,-0.04350914877628379,-0.028073024140393248,0.01188102137892672,0.06481139696927679,-0.022853084587889497,0.01352392647443329,-0.01571740259171883,-0.04213272665503328,-0.04607494326104029,0.03552105073174681,-0.015522307291361823,-0.023691403095199997,-0.007120310776238926,0.005879038997293289,-0.037451958867854664,0.00863554223177226,0.07915267343631817,-0.008301390011017696,-0.04943754950123325,-0.04646041346531445,-0.03464310453905117,-0.0029086665682491663,0.07036852076538626,0.00367721118461086,-0.009091702857493278,-0.007120310776238926,-0.037451958867854664,-0.01252377222694746,0.00829261164631956,-0.008771121457325374,0.07362867481595961,0.008972009612260811,-0.06520363085267071,-0.00996002794280688,0.07916912477261244,-0.020165707717889753,-0.006838267566712376,-0.01697495423154752,0.02149031962139612,-0.03536298626975062,-0.01394531339731222,-0.012160192077691511,,-0.04524386620430357
 Cash flow rate,0.32348242228734253,0.2884401925637314,0.32304019267192174,0.34118819323286675,0.3414333753276398,0.02305117352228059,0.024949820132863062,0.02281284591714696,-0.005943310788782954,0.027729677476008813,-0.020147237245890334,0.030917666419019767,1.0,0.011986170150194696,0.049835405757480286,0.15847093115945332,0.15851985311228992,0.15825466590357462,0.19770478883585862,0.35388285249501994,0.20167912485839923,0.1919743536721581,0.1770077704964003,-0.017070471045597047,0.0037313071896586565,0.019070732453364988,0.018299799196728216,0.003902221197072004,0.05538866089709947,-0.007419936896166776,-0.002779101573407985,0.344660325411195,0.0022568282594843366,-0.012833215398620774,0.000512822470344095,0.3496392923237468,-0.285009730461167,0.28500973046116546,0.03830810457239514,-0.07876296661329252,-0.009770984964746437,0.19172314295643778,0.18661942405919474,-0.12548391982678211,-0.05797840778809419,0.00590405798524783,0.006638100238488845,-0.020141098748180573,0.05297767627669822,-0.09666252500287073,-0.009017841373030737,0.13130434558884346,-0.0015543994166239523,0.16152019741982185,0.031134678157306743,-0.04924645393318172,0.2280272697069621,-0.008363689098467172,-0.023394333693866842,-0.27821787471250586,0.8805618326815656,-0.00680094033805354,0.01986177730008071,-0.06872941830654059,0.022609279403434948,-0.08756733627312131,0.02444635762359081,0.22325166696490603,0.026203944819451992,-0.0815172409728382,-0.007870327723347807,-0.057385346482142795,0.0444780321326849,-0.09388662155613683,0.01608556134327537,-0.006932644943100452,-0.06872941830654059,-0.08756733627312131,-0.04017785485538726,0.22478612692296643,0.3648116740073056,0.6033053942588786,0.09776130212601185,-0.12647272208444796,-0.013501195142826257,0.281309043670244,-0.05276552598607612,0.013642267254651912,0.3411864267289996,0.05793322522075678,-0.08077308588045601,-0.006348253499186485,0.0012617200295213082,,0.33170984556989747
 Interest-bearing debt interest rate,0.048882067614269435,0.05036227332417576,0.045839204512079255,0.017198269577898745,0.017121230412900357,0.0027837849846200817,0.004030735916518454,0.003824342863850562,0.0013319971281520399,0.0036535465709133805,-0.006011228390267238,0.0006560112067827033,0.011986170150194696,1.0,0.010079932347503031,0.050346755879632346,0.050345163054853495,0.05015864999191226,0.05950617091454377,0.01529728737994831,-0.00390396770733123,0.018362895190771517,0.06143126001746795,-0.003299102700635859,0.0017828318804997603,0.010105624471608425,0.010021106728891109,0.0004989438641709652,-0.018700453660103426,0.013614238822330123,0.004280554338244311,0.0001976754423871247,-0.0018398755891017666,-0.005201270169939916,-0.0043596206462283614,-0.003984291330076532,-0.059911032640202144,0.05991103264020353,0.0022451154593281543,-0.0017287331882570554,-0.0027917734901537856,0.016197508470873655,0.05497243741795206,0.03548624860727667,0.008551461202243933,-0.006983269677070074,0.016496256328789826,0.0077127090034718885,-0.03621277098031154,0.046758566565274995,-0.002586287448465609,-0.0045883255763738955,0.024253519418441456,0.04514116109256965,0.02524644411425422,0.01354367644767348,0.014468302109793576,0.055142565280692814,-0.011062557825023989,-0.041390138532996494,0.015720047256485594,-0.002819505891375124,0.011239867801827624,0.025008522913404663,0.06827292341371945,-0.018880266653909315,0.006089922558636776,0.023918900350129293,-0.00020161919513557173,-0.010339371934979084,-0.009758683262036981,-0.02682132600093645,0.000607099538081118,-0.01924277341477101,0.00017321118966409388,-0.0018398756903927305,0.025008522913404663,-0.018880266653909315,0.038228906019033865,-0.012599464132473955,-0.011340920137004128,0.01148236797108072,-0.006994774892188379,2.175416775989125e-05,0.03357081490447982,0.04873454229438386,-0.007518664689390155,0.0031752705756238416,0.01719757977069524,0.010949927171940432,-0.00342291112375378,-0.00730079320467586,-0.0007793875052098714,,0.02894467048263503
 Tax rate (A),0.2507607624517999,0.22589681886099414,0.19734404170327663,0.06797049967751019,0.06770764691696787,0.019935808174713715,0.02300292284649512,0.021164334672838462,-0.002269824359540641,0.02040669268080355,0.06068266761930852,-0.019200913287463508,0.049835405757480286,0.010079932347503031,1.0,0.1298911671644959,0.13049520710191873,0.1306652467874721,0.1693450303214555,0.06836264664209006,-0.021313123026562825,0.19746703524596457,0.20876301366005312,0.001506963545924304,0.018783586005983267,0.047621399397527436,0.04770062695277695,0.016856547864831362,0.06788612803453696,-0.011379642209316839,0.009975844190274356,0.0653293097373409,-9.658151944201822e-06,-0.02487526617904004,0.034656420601354,-0.010497152707616976,-0.009723614062845389,0.009723614062846157,-0.012952159703421949,-0.05317733289796251,-0.012504246174467305,0.19741924433073085,0.20989788802850723,0.027022438159425632,0.19363637221831437,-0.019968395294183625,-0.0004434553351063166,-0.05076934650476268,-0.1352096356607037,0.11526994999345476,-0.014119446401959468,0.06782639373993675,0.005541754328777783,0.05610341827646297,0.11915518129424874,0.08438560019141425,-0.011757585786356068,-0.009853950393631395,-0.03526520216547261,0.03852047221354521,0.051844403844927445,-0.008832797855564482,0.01766206198566045,0.0641816286759825,0.04103776051239136,-0.015970019589744155,0.016004447347884636,0.21220442470616382,-0.0009436929307035779,-0.08147550010369689,0.06394392941449661,0.04658643416397612,-0.002914622167867232,0.04405053494800441,0.00422723054916212,-0.01004452364093411,0.0641816286759825,-0.015970019589744155,-0.05442615750398931,0.030302093008271688,0.023895320681700763,0.1031009470802454,0.021562787278939344,-0.053578767731233684,-0.0284247981564906,0.2312104218336069,-0.02364294804365955,0.011488362859227587,0.06797091199943145,0.07791983684899087,-0.03000222803927511,-0.014962319368445469,0.030275073061706258,,-0.053148138330533924
 Net Value Per Share (B),0.5055803204506616,0.5317988012413958,0.5020515495664438,0.14466055484366475,0.14288708461814026,0.01925696630080027,0.03303382215951255,0.03136925746563455,0.01958771884394288,0.03083929286344877,0.09051859475458447,0.08882165407596285,0.15847093115945332,0.050346755879632346,0.1298911671644959,1.0,0.9993420298970497,0.9991785547277325,0.7555682214354419,0.3469036875832033,-0.008234809707529886,0.6076226591079786,0.7263214621736235,-0.013744019082572067,0.01604937624706684,0.05681820325103498,0.056517504066865336,0.04386533956599895,-0.018870544125799655,-0.030175325283703303,0.060967728440029394,0.0906513262651381,0.010461774276493977,-0.0029089860052873384,-0.008174869160243356,0.008546431368136001,-0.24914641316405597,0.24914641316406202,0.05225371961649404,-0.12399056651130991,-0.028405927666599707,0.6030239232971486,0.7066457210909582,-0.08939645073174184,0.08202612484710875,-0.018647304519748702,-0.0024480243094883356,-0.08068404324185847,-0.0809710554285499,-0.032829255916711604,-0.017798823125525807,0.26133039232249666,-0.009322191749370446,0.19861997552978575,0.115516333393255,0.04725420108495292,0.18562081604651973,-0.014826923494883546,-0.0330778003278913,-0.19854591464254792,0.19596471868790333,-0.005684644694540778,-0.015541611860587317,0.04468945576564797,0.07011154364125655,-0.10209815402821859,0.011322408747798714,0.4913649083700741,0.023142805572207943,-0.23557289212946037,-0.017122614091195663,-0.043037853510008356,0.006437985884710717,-0.05477500415124068,0.009424090993493978,-0.0031115704844916253,0.04468945576564797,-0.10209815402821859,-0.08900435517708524,0.1429251269628129,0.07698004305133467,0.23081419530533298,0.07298175345209537,-0.16436658657583525,-0.09677636918095421,0.4937760641768798,-0.059970483194507845,0.014302967816508073,0.14466160049902768,0.14869334527068293,-0.1108504462393451,-0.021860475209067535,-0.00217495626750487,,0.09843391451150607
 Net Value Per Share (A),0.5054066806313373,0.531790250119165,0.5020004897850217,0.14503138542952257,0.14326213556382764,0.019218117283018043,0.03301484184040056,0.031346606927706404,0.019644194785401282,0.030835048240576285,0.09126265755387136,0.08749971032460721,0.15851985311228992,0.050345163054853495,0.13049520710191873,0.9993420298970497,1.0,0.9998372673766628,0.7554094620766124,0.34651135512166464,-0.008193170665839626,0.6069544781274615,0.7259558221414792,-0.013689394393041832,0.016013990213488403,0.05667921446888587,0.0563753293931908,0.04376665574490289,-0.018649659446198532,-0.030088598965197465,0.0608349539396047,0.09037673138320967,0.010445514728433204,-0.002873680804549308,-0.008085467547642297,0.008546519034494913,-0.24992503448619102,0.24992503448619613,0.05224539767714033,-0.12532075118755526,-0.028915081385019206,0.6023668829380061,0.7058002754848263,-0.08999196920963785,0.08267362172217826,-0.019674542310327715,-0.0024105192400199356,-0.08024790650441989,-0.08177304366451006,-0.03243986795224575,-0.01774035672218839,0.261380645206608,-0.009267579209741144,0.1995982535839285,0.11560592683119025,0.04781568283834127,0.1856310154751441,-0.014772689271150176,-0.03275618073375923,-0.1990860403961547,0.19590295859342147,-0.00558851159419672,-0.015539657751710526,0.04462352229120842,0.07033079097092773,-0.10253925909913031,0.011622845710757605,0.49276048201155365,0.02313552076327921,-0.23487828308471292,-0.016615701936755354,-0.042925998732610056,0.006426415647972749,-0.053796587374699806,0.009397748359140675,-0.0030938715186302145,0.04462352229120842,-0.10253925909913031,-0.09072501537256605,0.14292996579527228,0.07691691218577623,0.23062914354186748,0.0729999875642987,-0.16508332729978287,-0.09650619269162497,0.4938033950156332,-0.059779931085869535,0.014423885374357716,0.14503239803836723,0.14887152989046554,-0.11179703335778747,-0.021780638245336378,-0.002357965441129222,,0.09872110467353477
 Net Value Per Share (C),0.5052808487973172,0.5318207757431146,0.5019071929176926,0.14505661057459415,0.1432875204791563,0.019239965266902245,0.0330350776324261,0.03136697913191444,0.019631690150416936,0.030840302387070834,0.09119735612112907,0.0870627019419235,0.15825466590357462,0.05015864999191226,0.1306652467874721,0.9991785547277325,0.9998372673766628,1.0,0.7552167999469453,0.34624308195379977,-0.008221632935751781,0.6068953756785537,0.7258253919667929,-0.013708383870038025,0.0160222839502036,0.056681754864722184,0.056377896314041616,0.043750656839401464,-0.01838891940277046,-0.030098708622597368,0.06080206596443437,0.09031219595091047,0.010429270559209237,-0.0020126908523937755,-0.008056073466262937,0.008514126133652954,-0.24946272821373752,0.24946272821374302,0.05213723523681197,-0.1251876728656048,-0.028923399355897356,0.6022772638355182,0.7056210180523377,-0.08977662726634725,0.0824337705626157,-0.019724461632411018,-0.0024549173203423755,-0.08005411818290926,-0.08174915981176609,-0.03245497990870173,-0.017756776470135648,0.26147706979931756,-0.00931049104611414,0.19947461584512916,0.11530950148976683,0.047967897555519924,0.1852999602087137,-0.01479427661485737,-0.031013342188055376,-0.19872056785078243,0.1956212777833399,-0.005579614323366594,-0.015648834859150328,0.04453782610720162,0.0703833250055262,-0.10243133053248075,0.011509444702123103,0.4927344521244022,0.02311684841322145,-0.23506172766337147,-0.01669010726804378,-0.04312139970007404,0.006431343249729243,-0.053929752005266986,0.009402653665437804,-0.0031074371415367834,0.04453782610720162,-0.10243133053248075,-0.09066721551238754,0.1430172414709843,0.0768714052693776,0.23034230153610835,0.0730798059584118,-0.1650106332248071,-0.09652722169659265,0.4938221929467547,-0.05982604185380661,0.014334827322633262,0.14505758897065255,0.14890552163280457,-0.11168158001496176,-0.021673952985990508,-0.002327895527502669,,0.09838952627610151
 Persistent EPS in the Last Four Seasons,0.775006200598594,0.7648280089887484,0.7645970494767387,0.256721841363672,0.25475271680295963,0.02041961938040792,0.03372611640335072,0.030767834193153074,0.018147763882439105,0.03205069554861634,0.0809689795931054,0.07648599664215705,0.19770478883585862,0.05950617091454377,0.1693450303214555,0.7555682214354419,0.7554094620766124,0.7552167999469453,1.0,0.4557939399984423,-0.00968993963122727,0.8767694890496591,0.9555910456161516,-0.0021779156909083395,0.025087988860128644,0.08608014950518493,0.08608348385783476,0.023706790055680868,-0.03674340079452079,-0.022101338685766678,0.0801401394335356,0.16522354807014875,0.011286388032689334,-0.0042439313272694505,6.694917442106167e-06,-0.011383378244019283,-0.1774289262850616,0.17742892628506576,0.052177849361221565,-0.14413818173810267,-0.05396193181093918,0.8736405203664438,0.9594608424800604,-0.03798592327748155,0.21470981312551826,-0.019997489819607164,0.007837960004163012,-0.0714603299577615,-0.12945681303636958,0.06603252846850065,-0.011411964413468543,0.3515893176369876,-0.009402529267179941,0.25318805352937235,0.21509722531267378,0.17693073714768845,0.24095572556389827,-0.006743561465642251,-0.03440441652718974,-0.09768912969154246,0.24824095666554657,0.0002825778112568221,0.031821159998110374,0.10731037557562409,0.12185385042903368,-0.09496558082981461,0.019495761910733073,0.49207782968813296,0.02301305893392101,-0.17799592391105604,-0.0004122277358084728,-0.02935227862665383,0.0021921422850508113,-0.034255858334086293,0.0072552690141006095,-0.006477343074278501,0.10731037557562409,-0.09496558082981461,-0.11438106953324352,0.22237830873630224,0.12340260274906352,0.33363578916963327,0.1296607779451827,-0.15468980263592497,-0.10552188869996659,0.6911520598487237,-0.03350923095305078,0.0037914922195467966,0.25672288890240513,0.22296142854477244,-0.11411410992598567,-0.018829085403688838,0.00803857991321617,,0.036721591641990216
 Cash Flow Per Share,0.3798394958767992,0.32623906820913895,0.3662164480340563,0.16319159818749437,0.16316285043166642,0.014244398566713586,0.017617499000954957,0.01614038178432728,0.0007577566475575443,0.016342636992021552,0.007252733361920769,0.05216247161510002,0.35388285249501994,0.01529728737994831,0.06836264664209006,0.3469036875832033,0.34651135512166464,0.34624308195379977,0.4557939399984423,1.0,-0.006982827475578744,0.4607399237346168,0.43925672400069354,-0.10468879032188967,-0.005480808526066673,0.0014119710411789003,0.00048827652547095234,-0.0003753889781809931,0.054534257901459805,-0.00938306986470723,-0.1874181420241634,0.6502785900938609,0.0005806716191101784,-0.0251352781799842,0.003575025808836098,0.0037793459938118452,-0.1581174490989299,0.15811744909893288,-0.03096431630453559,-0.09919821388574793,-0.009521362591382494,0.4651021295641016,0.44581742948491815,-0.12550769511355991,0.052539124031860424,-0.020617569032555245,-0.010239391412632371,-0.03735678671556313,0.013248032087231004,0.0896484054391344,-0.008270704791148874,0.06219169386205972,-0.010748990220898952,0.07399133916359374,0.09814276306259591,-0.037778355705846506,0.2536100368128773,-0.013813777906171469,-0.02260762145356456,-0.1477171473335934,0.4151223337526557,-0.009111805179704516,0.028554688133136896,0.006296321367089707,-0.009904442100040472,-0.04502242958599908,0.03118845292526026,0.2255572486136501,0.011126293617977477,-0.01391905964169878,0.04271597144772027,-0.028332212186626855,-0.00024026798223891868,-0.058218099323973455,0.004107017843319547,-0.023986524700711546,0.006296321367089707,-0.04502242958599908,-0.03748814573964412,0.24679125305217817,0.12925002397470917,0.7150034599290613,0.19967461060071684,-0.05280390128393424,-0.037402789655481654,0.2922521191398263,-0.02359136969091299,0.0027208293441863176,0.16319025538771179,0.07425048145612824,-0.04729843235564319,-0.006200451284951426,0.0013577002045022143,,0.05211713740384494
 Revenue Per Share (Yuan ¥),-0.015932448685523206,-0.011829455752834913,-0.014358550705389555,0.11704517075473185,0.11719614483569782,-0.04445999698577942,0.004931126991354068,0.005594499201580727,0.11831564233916705,0.05160700898418547,-0.015838175724108894,-0.019291366530357672,0.20167912485839923,-0.00390396770733123,-0.021313123026562825,-0.008234809707529886,-0.008193170665839626,-0.008221632935751781,-0.00968993963122727,-0.006982827475578744,1.0,-0.014821558634054313,-0.011662797364385117,0.00019204780410828775,-0.0004267949571881281,-0.058293845624348146,-0.058070820318319234,-0.0035027603206348405,-0.01067002707556248,-0.0003525819192058059,-0.0019652168573503596,0.0007202226391216683,-0.0003112149300927729,-0.0008797954566330381,-0.0007098887588674116,0.029592188624271556,-0.019679131634361288,0.019679131634360466,0.1281493268635093,0.001180975776463842,0.004572825914895061,-0.014768104879235338,-0.01146253487090344,-0.009710988579079703,-0.03597967960320122,0.26434561993395955,-0.0009850521670207348,-0.011734435087003491,-0.01046199809090873,-0.02082553746133901,0.27574191418120936,-0.0259729114017302,-0.0009822053941059509,0.020298161549319894,-0.014144746814997436,0.0002705317527875917,0.018125059496626433,-0.000538017365179977,-0.001871232946905759,-0.026361473245398476,0.12745877093332234,-0.0002786271453081271,0.037494378385059854,-0.027977463285618377,0.0017831388495313273,-0.006360201327597054,-0.002440726218355841,-0.004366135274376717,-0.0005576484274982388,-0.01788543441524177,-0.010893614152015467,-0.01647625872202873,0.1849159887215003,-0.021618303917769484,0.03716474014448329,-0.0003112151914216827,-0.027977463285618377,-0.006360201327597054,0.010573505481006197,0.01579903413944074,0.15696562212996265,-0.002226422865997455,0.003660075251086247,-0.0062238832915745565,-0.0008807016427096174,-0.008314745431590652,-0.001271782991644285,0.027256282657556755,0.11704355379472518,-0.001104389334552131,-0.002131951047265007,-0.0011397853291945155,-5.309699168920207e-05,,0.2332025162980015
 Operating Profit Per Share (Yuan ¥),0.687200783557138,0.6542531851933987,0.6598337858312312,0.26794430932162416,0.2670205133672563,0.022397084846190626,0.02631430254639029,0.02413734653891526,-0.0016008090894965117,0.024515627196953337,0.07179917799953653,0.06873816371394952,0.1919743536721581,0.018362895190771517,0.19746703524596457,0.6076226591079786,0.6069544781274615,0.6068953756785537,0.8767694890496591,0.4607399237346168,-0.014821558634054313,1.0,0.861812562331303,-0.002527064153321761,0.027940836677648326,0.06750184617541638,0.06718164490586372,0.012131002416881862,-0.04133432804383807,-0.022638979987786276,0.07645312501085814,0.205792024264421,-0.0010144856626129837,0.0007203576895568696,3.940290659704334e-06,-0.013880121279972084,-0.07805585478705233,0.0780558547870562,0.04327322238828495,-0.10713453645561767,-0.05662564206932399,0.9986961505784385,0.8861573968367282,0.020064401346317883,0.28259079343435867,-0.019499760123281234,0.0027935448810409887,-0.04679006494096731,-0.1193663350741635,0.14243530220531228,-0.009898789026072611,0.3670236675429692,-0.008020387783399714,0.26617670125801984,0.2666368365452608,0.26050054480306717,0.23688825545634112,-0.007191503415992558,-0.02396625578087651,-0.0034961357528058693,0.24570060928587942,-0.0037231333895891582,0.03754204646151478,0.13599587888290912,0.12654611245574246,-0.055461004956811444,0.022299315950800983,0.41522576971015,0.015659697859394337,-0.07074183536945784,0.008129720515729135,-0.0012626425832706156,-0.00043532828718779277,-0.012514187349033147,0.005120019136552182,-0.0067322119229786875,0.13599587888290912,-0.055461004956811444,-0.0942850152815634,0.21851108552213877,0.11881623599088781,0.3382062927917964,0.1261645870771243,-0.1457406071479463,-0.0463808817780792,0.5778455242001679,-0.03229943916966354,0.001168721205921873,0.26794552281578937,0.18360095946302332,-0.07710160953614083,-0.01593615706929114,0.006330532265607423,,-0.009315586119807148
